date,high,low,precip
2016-1-1,42,34,0.00
2016-1-2,40,32,0.00
2016-1-3,45,35,0.00
2016-1-4,36,14,0.00
2016-1-5,29,11,0.00
2016-1-6,41,25,0.00
2016-1-7,46,31,0.00
2016-1-8,46,31,0.00
2016-1-9,47,40,T
2016-1-10,59,40,1.80
2016-1-11,40,26,0.00
2016-1-12,44,25,T
2016-1-13,30,22,0.00
2016-1-14,38,22,T
2016-1-15,51,34,T
2016-1-16,52,42,0.24
2016-1-17,42,30,0.05
2016-1-18,31,18,T
2016-1-19,28,16,0.00
2016-1-20,37,27,0.00
2016-1-21,36,26,0.00
2016-1-22,30,21,0.01
2016-1-23,27,24,2.31
2016-1-24,35,20,T
2016-1-25,39,28,0.00
2016-1-26,48,38,0.00
2016-1-27,47,34,T
2016-1-28,42,32,0.00
2016-1-29,41,30,0.00
2016-1-30,39,28,0.00
2016-1-31,56,36,0.00
2016-2-1,59,44,0.01
2016-2-2,50,38,0.00
2016-2-3,59,42,0.73
2016-2-4,59,44,T
2016-2-5,44,31,0.53
2016-2-6,39,30,0.00
2016-2-7,47,33,0.00
2016-2-8,39,28,0.05
2016-2-9,36,27,T
2016-2-10,39,31,0.01
2016-2-11,31,18,T
2016-2-12,27,15,0.00
2016-2-13,22,6,0.00
2016-2-14,15,-1,0.00
2016-2-15,35,13,0.44
2016-2-16,54,35,1.01
2016-2-17,39,35,0.00
2016-2-18,36,27,0.00
2016-2-19,39,24,0.00
2016-2-20,61,39,0.00
2016-2-21,55,44,0.03
2016-2-22,52,38,0.00
2016-2-23,40,35,0.30
2016-2-24,60,36,1.22
2016-2-25,61,37,0.02
2016-2-26,39,27,0.00
2016-2-27,41,26,0.00
2016-2-28,60,38,0.00
2016-2-29,61,47,0.05
2016-3-1,52,39,0.00
2016-3-2,55,29,0.14
2016-3-3,36,26,0.00
2016-3-4,39,30,0.11
2016-3-5,41,28,0.00
2016-3-6,44,32,0.00
2016-3-7,60,36,0.00
2016-3-8,67,47,0.00
2016-3-9,77,44,0.00
2016-3-10,79,63,0.00
2016-3-11,68,48,0.06
2016-3-12,59,40,0.00
2016-3-13,62,50,T
2016-3-14,51,40,0.29
2016-3-15,57,44,0.00
2016-3-16,65,48,0.02
2016-3-17,63,45,T
2016-3-18,57,42,0.00
2016-3-19,46,36,0.00
2016-3-20,43,32,0.07
2016-3-21,50,32,0.06
2016-3-22,56,35,0.00
2016-3-23,71,48,0.00
2016-3-24,55,44,0.00
2016-3-25,72,44,0.04
2016-3-26,55,38,0.00
2016-3-27,55,43,0.00
2016-3-28,62,42,0.38
2016-3-29,53,40,0.00
2016-3-30,56,37,0.00
2016-3-31,73,49,0.00
2016-4-1,79,61,0.01
2016-4-2,61,49,0.15
2016-4-3,50,34,0.09
2016-4-4,45,29,0.47
2016-4-5,43,26,0.00
2016-4-6,48,30,0.00
2016-4-7,58,48,0.09
2016-4-8,50,40,0.01
2016-4-9,43,36,0.09
2016-4-10,50,31,0.00
2016-4-11,65,43,0.01
2016-4-12,59,45,0.20
2016-4-13,58,40,0.00
2016-4-14,62,43,0.00
2016-4-15,65,42,0.00
2016-4-16,68,43,0.00
2016-4-17,75,44,0.00
2016-4-18,82,51,0.00
2016-4-19,73,55,0.00
2016-4-20,69,49,0.00
2016-4-21,73,49,0.00
2016-4-22,79,62,T
2016-4-23,71,54,0.16
2016-4-24,68,47,0.00
2016-4-25,69,50,0.00
2016-4-26,60,47,0.24
2016-4-27,62,46,0.00
2016-4-28,59,48,0.00
2016-4-29,58,45,0.05
2016-4-30,65,46,0.00
2016-5-1,51,45,0.16
2016-5-2,60,45,0.04
2016-5-3,56,51,0.61
2016-5-4,52,48,0.01
2016-5-5,57,46,0.00
2016-5-6,54,48,0.54
2016-5-7,60,48,0.00
2016-5-8,66,49,0.16
2016-5-9,72,52,0.00
2016-5-10,63,50,0.00
2016-5-11,76,50,0.00
2016-5-12,80,56,0.00
2016-5-13,65,58,0.25
2016-5-14,73,56,T
2016-5-15,57,46,T
2016-5-16,66,43,0.00
2016-5-17,64,52,T
2016-5-18,58,54,T
2016-5-19,73,54,0.00
2016-5-20,76,53,0.00
2016-5-21,66,54,0.04
2016-5-22,70,52,0.09
2016-5-23,78,56,0.02
2016-5-24,73,58,0.18
2016-5-25,88,61,0.00
2016-5-26,90,69,0.00
2016-5-27,87,73,0.00
2016-5-28,92,71,0.00
2016-5-29,87,70,T
2016-5-30,82,68,1.65
2016-5-31,85,71,0.00
2016-6-1,83,66,0.00
2016-6-2,78,62,0.00
2016-6-3,70,63,0.04
2016-6-4,83,66,0.40
2016-6-5,71,65,0.91
2016-6-6,83,65,0.00
2016-6-7,85,64,T
2016-6-8,67,52,0.45
2016-6-9,71,54,0.00
2016-6-10,77,57,0.00
2016-6-11,88,59,0.00
2016-6-12,83,62,0.00
2016-6-13,74,57,0.00
2016-6-14,79,58,0.00
2016-6-15,85,62,0.00
2016-6-16,74,65,0.22
2016-6-17,78,63,0.00
2016-6-18,87,61,0.00
2016-6-19,88,66,0.00
2016-6-20,84,64,0.00
2016-6-21,87,72,T
2016-6-22,86,68,0.00
2016-6-23,83,69,0.00
2016-6-24,84,67,0.00
2016-6-25,86,64,0.00
2016-6-26,87,67,0.00
2016-6-27,83,67,0.45
2016-6-28,76,68,0.12
2016-6-29,83,67,0.01
2016-6-30,85,67,0.00
2016-7-1,79,66,0.83
2016-7-2,76,63,0.00
2016-7-3,78,64,0.00
2016-7-4,84,66,0.49
2016-7-5,86,69,0.66
2016-7-6,91,75,0.00
2016-7-7,89,77,0.04
2016-7-8,86,67,0.08
2016-7-9,72,65,0.53
2016-7-10,80,66,T
2016-7-11,81,65,0.00
2016-7-12,82,68,0.00
2016-7-13,85,71,0.00
2016-7-14,88,73,0.62
2016-7-15,88,79,0.00
2016-7-16,90,75,T
2016-7-17,89,75,0.00
2016-7-18,93,72,0.35
2016-7-19,83,73,0.00
2016-7-20,85,68,0.00
2016-7-21,90,71,0.00
2016-7-22,94,74,0.00
2016-7-23,96,80,0.00
2016-7-24,94,75,0.00
2016-7-25,93,73,1.00
2016-7-26,89,72,0.00
2016-7-27,91,74,0.00
2016-7-28,95,75,T
2016-7-29,85,69,1.09
2016-7-30,84,73,0.25
2016-7-31,78,71,1.08
2016-8-1,80,69,T
2016-8-2,79,68,0.00
2016-8-3,80,66,0.00
2016-8-4,81,67,0.00
2016-8-5,83,69,0.00
2016-8-6,87,72,0.05
2016-8-7,86,70,0.00
2016-8-8,86,71,0.00
2016-8-9,87,71,0.00
2016-8-10,86,75,0.09
2016-8-11,91,74,0.15
2016-8-12,93,73,0.32
2016-8-13,96,81,0.00
2016-8-14,94,78,0.06
2016-8-15,92,77,0.00
2016-8-16,87,78,0.11
2016-8-17,85,77,0.01
2016-8-18,85,72,0.03
2016-8-19,88,74,0.01
2016-8-20,83,70,0.82
2016-8-21,86,73,0.31
2016-8-22,79,65,0.00
2016-8-23,82,61,0.00
2016-8-24,87,68,0.00
2016-8-25,86,69,0.00
2016-8-26,90,75,0.00
2016-8-27,89,75,0.00
2016-8-28,89,72,0.00
2016-8-29,91,74,0.00
2016-8-30,86,69,0.00
2016-8-31,89,74,T
2016-9-1,79,69,0.50
2016-9-2,81,66,0.00
2016-9-3,75,66,0.00
2016-9-4,80,65,0.00
2016-9-5,84,65,0.00
2016-9-6,80,71,T
2016-9-7,85,71,0.00
2016-9-8,89,71,0.00
2016-9-9,91,75,0.22
2016-9-10,90,74,T
2016-9-11,83,67,0.00
2016-9-12,78,62,0.00
2016-9-13,83,64,0.00
2016-9-14,91,67,0.56
2016-9-15,74,61,0.00
2016-9-16,73,61,0.00
2016-9-17,77,59,0.00
2016-9-18,82,70,0.00
2016-9-19,76,69,0.68
2016-9-20,82,68,0.00
2016-9-21,84,68,0.00
2016-9-22,86,65,0.00
2016-9-23,87,64,0.01
2016-9-24,71,58,0.20
2016-9-25,70,54,0.00
2016-9-26,74,54,0.00
2016-9-27,74,64,0.22
2016-9-28,69,56,0.00
2016-9-29,64,57,0.00
2016-9-30,59,56,0.40
2016-10-1,62,56,0.00
2016-10-2,63,57,0.00
2016-10-3,72,60,0.00
2016-10-4,69,60,0.00
2016-10-5,67,53,0.00
2016-10-6,73,55,0.00
2016-10-7,75,57,0.00
2016-10-8,68,58,0.23
2016-10-9,65,51,0.55
2016-10-10,64,47,0.00
2016-10-11,63,46,0.00
2016-10-12,66,53,0.00
2016-10-13,67,53,T
2016-10-14,62,47,0.00
2016-10-15,65,45,0.00
2016-10-16,69,53,0.00
2016-10-17,81,63,0.00
2016-10-18,81,67,0.00
2016-10-19,85,65,0.00
2016-10-20,70,62,0.00
2016-10-21,69,57,1.11
2016-10-22,57,47,0.29
2016-10-23,61,45,0.00
2016-10-24,62,47,T
2016-10-25,52,43,0.00
2016-10-26,51,38,0.00
2016-10-27,55,40,1.41
2016-10-28,51,42,0.00
2016-10-29,64,39,0.00
2016-10-30,76,54,0.56
2016-10-31,54,44,0.00
2016-11-1,58,40,0.00
2016-11-2,70,54,0.00
2016-11-3,72,57,0.00
2016-11-4,61,47,0.00
2016-11-5,62,44,0.00
2016-11-6,59,45,0.00
2016-11-7,53,41,0.00
2016-11-8,66,41,0.00
2016-11-9,59,49,0.06
2016-11-10,56,40,0.00
2016-11-11,63,41,0.00
2016-11-12,50,37,0.00
2016-11-13,61,41,0.00
2016-11-14,62,46,0.00
2016-11-15,56,47,1.81
2016-11-16,61,45,0.00
2016-11-17,61,49,0.00
2016-11-18,64,44,0.00
2016-11-19,63,37,0.25
2016-11-20,42,34,0.31
2016-11-21,41,36,0.00
2016-11-22,41,37,0.00
2016-11-23,45,35,0.00
2016-11-24,48,38,0.03
2016-11-25,54,45,0.02
2016-11-26,50,40,0.00
2016-11-27,50,39,0.00
2016-11-28,52,38,0.00
2016-11-29,60,51,2.20
2016-11-30,58,50,0.73
2016-12-1,54,42,0.07
2016-12-2,51,40,0.00
2016-12-3,47,41,T
2016-12-4,47,39,0.00
2016-12-5,49,38,0.19
2016-12-6,46,37,0.35
2016-12-7,46,40,0.09
2016-12-8,45,35,0.00
2016-12-9,40,30,0.00
2016-12-10,35,28,0.00
2016-12-11,35,28,0.03
2016-12-12,46,34,0.50
2016-12-13,43,35,0.00
2016-12-14,42,34,0.00
2016-12-15,34,19,T
2016-12-16,27,17,0.00
2016-12-17,39,24,0.73
2016-12-18,58,31,0.04
2016-12-19,31,23,0.00
2016-12-20,33,20,0.00
2016-12-21,40,30,0.00
2016-12-22,49,37,0.00
2016-12-23,47,38,0.00
2016-12-24,47,38,0.47
2016-12-25,50,36,0.00
2016-12-26,50,33,0.02
2016-12-27,60,40,0.00
2016-12-28,40,34,0.00
2016-12-29,46,33,0.39
2016-12-30,40,33,0.01
2016-12-31,44,31,0.00
